algorithm,faults,cachesize,clockfreq,input
fifo,349,77,1,8020
fifo,305,78,1,8020
fifo,313,79,1,8020
fifo,1615,8,1,8020
fifo,323,80,1,8020
fifo,311,81,1,8020
fifo,300,82,1,8020
fifo,274,83,1,8020
fifo,280,84,1,8020
fifo,279,85,1,8020
fifo,277,86,1,8020
fifo,278,87,1,8020
fifo,242,88,1,8020
fifo,264,89,1,8020
fifo,1580,9,1,8020
fifo,240,90,1,8020
fifo,231,91,1,8020
fifo,231,92,1,8020
fifo,220,93,1,8020
fifo,200,94,1,8020
fifo,201,95,1,8020
fifo,244,96,1,8020
fifo,197,97,1,8020
fifo,220,98,1,8020
fifo,219,99,1,8020
