algorithm,faults,cachesize,clockfreq,input
fifo,2000,68,1,belady
fifo,2000,69,1,belady
fifo,2000,7,1,belady
fifo,2000,70,1,belady
fifo,2000,71,1,belady
fifo,2000,72,1,belady
fifo,2000,73,1,belady
fifo,2000,74,1,belady
fifo,2000,75,1,belady
fifo,2000,76,1,belady
fifo,2000,77,1,belady
fifo,2000,78,1,belady
fifo,2000,79,1,belady
fifo,2000,8,1,belady
fifo,2000,80,1,belady
fifo,2000,81,1,belady
fifo,2000,82,1,belady
fifo,2000,83,1,belady
fifo,2000,84,1,belady
fifo,2000,85,1,belady
fifo,2000,86,1,belady
fifo,2000,87,1,belady
fifo,2000,88,1,belady
fifo,2000,89,1,belady
fifo,2000,9,1,belady
fifo,2000,90,1,belady
fifo,2000,91,1,belady
fifo,2000,92,1,belady
fifo,2000,93,1,belady
fifo,2000,94,1,belady
fifo,2000,95,1,belady
fifo,2000,96,1,belady
fifo,2000,97,1,belady
fifo,2000,98,1,belady
fifo,2000,99,1,belady
